"","ensembl_gene_id","hgnc_symbol","spin","tpm_resting","tpm_activated"
"161","ENSG00000146859","TMEM140","Lamina related",7778.7695826651,6190.31246631772
"162","ENSG00000146938","NLGN4X","Lamina related",7.2668612142881,10.5668537160247
"163","ENSG00000147257","GPC3","Lamina related",38.4045008823163,72.3843477465372
"164","ENSG00000147655","RSPO2","Lamina related",0,2.74962041187648
"165","ENSG00000147697","GSDMC","Interior_Act3",0,0
"166","ENSG00000148481","FAM188A","Lamina related",7611.8321733286,4715.3917165032
"167","ENSG00000148482","SLC39A12","Lamina related",0,0
"168","ENSG00000148484","RSU1","Lamina related",7894.07351485472,10562.7515090933
"169","ENSG00000150054","MPP7","Lamina related",6925.18972155812,3291.49481501483
"170","ENSG00000150275","PCDH15","Lamina related",1.01916258089773,0
"171","ENSG00000150394","CDH8","Lamina related",1.67306847242931,0
"172","ENSG00000150477","KIAA1328","Lamina related",801.134131679279,502.122806083723
"173","ENSG00000150672","DLG2","Lamina related",147.129248382833,38.1965245105244
"174","ENSG00000150687","PRSS23","Interior_Act3",139.316087373213,45.0778667670591
"175","ENSG00000151304","SRFBP1","Lamina related",5155.06502348967,11771.8240829709
"176","ENSG00000151376","ME3","Interior_Act3",811.526271090486,373.687408118132
"177","ENSG00000151575","TEX9","Lamina related",116.061053789971,56.1829372682096
"178","ENSG00000151577","DRD3","Lamina related",51.7722330367801,18.6602570888313
"179","ENSG00000152049","KCNE4","Lamina related",0,0
"180","ENSG00000152208","GRID2","Lamina related",0,0
"181","ENSG00000152253","SPC25","Interior_Act3",30.5011163734208,5554.93453952719
"182","ENSG00000152254","G6PC2","Interior_Act3",0,0
"183","ENSG00000152818","UTRN","Lamina related",24729.2203668383,3103.73349925679
"184","ENSG00000152822","GRM1","Lamina related",4.31065754287038,1.91066943024776
"185","ENSG00000152952","PLOD2","Lamina related",9.55863713079849,44.6029969766775
"186","ENSG00000152977","ZIC1","Lamina related",0,0
"187","ENSG00000153015","CWC27","Lamina related",3224.62740092104,7725.79959577927
"188","ENSG00000153064","BANK1","Lamina related",976.67634924983,134.581746213347
"189","ENSG00000153707","PTPRD","Lamina related",2.55726942228811,5.5484287924221
"190","ENSG00000153904","DDAH1","Lamina related",14.6802902302073,13.4599197575487
"191","ENSG00000153956","CACNA2D1","Lamina related",0,0
"192","ENSG00000154027","AK5","Lamina related",4522.29983490151,246.675920052065
"193","ENSG00000154143","PANX3","Lamina related",17.5024543632485,0
"194","ENSG00000154162","CDH12","Lamina related",1.10351687922387,0
"195","ENSG00000154274","C4orf19","Lamina related",150.398033853321,45.5534064224191
"196","ENSG00000154447","SH3RF1","Lamina related",16.5412736387058,195.555016278823
"197","ENSG00000154639","CXADR","Lamina related",150.580288355321,108.514690084153
"198","ENSG00000154645","CHODL","Lamina related",37.2739428981917,0
"199","ENSG00000154975","CA10","Lamina related",6.55653739854723,4.27755068333192
"200","ENSG00000155052","CNTNAP5","Lamina related",1.75388307811566,0
"201","ENSG00000155511","GRIA1","Lamina related",1.25087051380538,0
"202","ENSG00000155636","RBM45","Interior_Act3",4580.71276400488,4924.62398163036
"203","ENSG00000155816","FMN2","Lamina related",0,0
"204","ENSG00000155868","MED7","Lamina related",6206.8765131679,6060.86769986624
"205","ENSG00000155886","SLC24A2","Lamina related",6.4411434890265,1.29262146216036
"206","ENSG00000155970","MICU3","Lamina related",1624.45068457738,509.109508146753
"207","ENSG00000156011","PSD3","Lamina related",103.040287004134,173.672616298695
"208","ENSG00000156475","PPP2R2B","Lamina related",367.962265020701,134.721140678321
"209","ENSG00000156687","UNC5D","Lamina related",0,0
"210","ENSG00000156958","GALK2","Lamina related",2561.19694169131,2992.25394266656
"211","ENSG00000157445","CACNA2D3","Lamina related",1.40078116917326,0
"212","ENSG00000157680","DGKI","Lamina related",0,94.9909323875798
"213","ENSG00000158163","DZIP1L","Lamina related",0,11.4293776446994
"214","ENSG00000158683","PKD1L1","Lamina related",117.405555575118,40.606257393898
